id,supermarket,category,name,price,reference_price,reference_unit,insert_date
253924,mercadona-es,coloracion_cabello,Coloración permanente Garnier 6.0  rubio oscuro,3.65,3.65,ud,2020-07-21 16:06:00
253925,mercadona-es,coloracion_cabello,Coloración permanente Garnier 6.35 rubio caramelo,3.65,3.65,ud,2020-07-21 16:06:00
253926,mercadona-es,coloracion_cabello,Coloración permanente Garnier 6.42 rubio terracota,3.65,3.65,ud,2020-07-21 16:06:00
253927,mercadona-es,coloracion_cabello,Coloración permanente Garnier 9.13 rubio beige cristalino,3.65,3.65,ud,2020-07-21 16:06:00
253928,mercadona-es,coloracion_cabello,Coloración permanente Garnier 110 rubio extra claro ceniza,3.65,3.65,ud,2020-07-21 16:06:00
253929,mercadona-es,coloracion_cabello,Coloración permanente sin amoníaco Azalea 6.6 rubio oscuro rojizo,3.5,3.5,ud,2020-07-21 16:06:00
253930,mercadona-es,coloracion_cabello,Coloración permanente sin amoníaco Azalea 7 rubio,3.5,3.5,ud,2020-07-21 16:06:00
253931,mercadona-es,coloracion_cabello,"Coloración permanente sin amoníaco Azalea 8.77 rubio claro, marrón intenso",3.5,3.5,ud,2020-07-21 16:06:00
253932,mercadona-es,coloracion_cabello,Coloración permanente sin amoníaco Garnier 9.0 rubio muy claro,6.35,6.35,ud,2020-07-21 16:06:00
253933,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 6 rubio oscuro,7.95,7.95,ud,2020-07-21 16:06:00
253934,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 6.1 rubio ceniza oscuro,7.95,7.95,ud,2020-07-21 16:06:00
253935,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 6.46 rubio oscuro cobrizo caoba,7.95,7.95,ud,2020-07-21 16:06:00
253936,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 7 rubio,7.95,7.95,ud,2020-07-21 16:06:00
253937,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 7.1 rubio ceniza,7.95,7.95,ud,2020-07-21 16:06:00
253938,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 7.3 rubio dorado,7.95,7.95,ud,2020-07-21 16:06:00
